"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 10, 2020","4.37","4.39","4.40","4.36","127.86K","-0.14%"
"Sep 09, 2020","4.38","4.36","4.39","4.36","347.95K","0.19%"
"Sep 08, 2020","4.37","4.45","4.45","4.34","369.46K","-1.54%"
"Sep 07, 2020","4.44","4.40","4.44","4.39","439.76K","1.89%"
"Sep 04, 2020","4.36","4.39","4.47","4.34","219.33K","-1.45%"
"Sep 03, 2020","4.42","4.53","4.55","4.41","168.45K","-1.79%"
"Sep 02, 2020","4.50","4.50","4.52","4.49","333.12K","1.33%"
"Sep 01, 2020","4.44","4.46","4.46","4.40","291.21K","0.35%"
"Aug 31, 2020","4.43","4.51","4.51","4.42","251.36K","-0.55%"
"Aug 28, 2020","4.45","4.48","4.48","4.45","304.65K","-0.47%"
"Aug 27, 2020","4.47","4.46","4.48","4.45","265.43K","0.15%"
"Aug 26, 2020","4.47","4.45","4.48","4.45","177.49K","0.65%"
"Aug 25, 2020","4.44","4.51","4.51","4.44","332.09K","-0.36%"
"Aug 24, 2020","4.45","4.44","4.46","4.43","394.99K","0.83%"
"Aug 21, 2020","4.42","4.42","4.43","4.40","680.47K","0.00%"
"Aug 20, 2020","4.42","4.40","4.43","4.39","508.72K","-0.41%"
"Aug 19, 2020","4.44","4.41","4.44","4.40","699.85K","0.42%"
"Aug 18, 2020","4.42","4.45","4.46","4.40","387.98K","-0.74%"
"Aug 17, 2020","4.45","4.46","4.47","4.43","525.36K","0.00%"
"Aug 14, 2020","4.45","4.46","4.46","4.42","352.26K","-0.34%"
"Aug 13, 2020","4.46","4.47","4.47","4.44","319.10K","-0.29%"
"Aug 12, 2020","4.48","4.51","4.51","4.47","237.49K","-0.36%"
"Aug 11, 2020","4.49","4.47","4.50","4.47","143.13K","0.82%"
"Aug 10, 2020","4.46","4.44","4.46","4.43","226.11K","1.26%"
"Aug 07, 2020","4.40","4.36","4.41","4.36","107.68K","0.82%"
"Aug 06, 2020","4.37","4.37","4.40","4.36","49.90K","0.22%"
"Aug 05, 2020","4.36","4.38","4.38","4.34","281.97K","0.47%"
"Aug 04, 2020","4.34","4.34","4.35","4.30","80.00K","0.46%"
"Aug 03, 2020","4.32","4.29","4.32","4.25","291.05K","2.26%"
"Jul 31, 2020","4.22","4.24","4.27","4.21","156.83K","-1.24%"
"Jul 30, 2020","4.27","4.32","4.32","4.23","102.37K","-0.73%"
"Jul 29, 2020","4.30","4.30","4.31","4.27","59.49K","0.00%"
"Jul 28, 2020","4.31","4.32","4.32","4.28","65.54K","0.94%"
"Jul 27, 2020","4.27","4.32","4.32","4.26","264.75K","-0.91%"
"Jul 24, 2020","4.30","4.33","4.34","4.30","283.93K","-1.44%"
"Jul 23, 2020","4.37","4.39","4.39","4.34","378.71K","0.58%"
"Jul 22, 2020","4.34","4.39","4.39","4.33","411.38K","-1.15%"
"Jul 21, 2020","4.39","4.39","4.42","4.36","310.60K","1.17%"
"Jul 20, 2020","4.34","4.33","4.35","4.30","305.46K","0.00%"
"Jul 17, 2020","4.34","4.36","4.36","4.31","252.44K","0.00%"
"Jul 16, 2020","4.34","4.36","4.37","4.32","209.36K","-0.15%"
"Jul 15, 2020","4.34","4.30","4.36","4.27","274.15K","2.76%"
"Jul 14, 2020","4.23","4.26","4.26","4.19","361.83K","-1.75%"
"Jul 13, 2020","4.30","4.33","4.33","4.27","447.93K","0.76%"
"Jul 10, 2020","4.27","4.23","4.28","4.21","321.74K","1.35%"
"Jul 09, 2020","4.21","4.29","4.29","4.20","200.06K","-0.96%"
"Jul 08, 2020","4.25","4.30","4.30","4.24","365.96K","-1.63%"
"Jul 07, 2020","4.32","4.34","4.34","4.30","216.21K","-0.47%"
"Jul 06, 2020","4.34","4.39","4.39","4.33","460.76K","1.33%"
"Jul 03, 2020","4.29","4.34","4.34","4.28","281.33K","-0.97%"
"Jul 02, 2020","4.33","4.32","4.36","4.29","154.79K","1.50%"
"Jul 01, 2020","4.27","4.30","4.34","4.25","256.28K","0.00%"
"Jun 30, 2020","4.27","4.28","4.29","4.24","290.58K","0.53%"
"Jun 29, 2020","4.24","4.22","4.26","4.18","117.29K","0.58%"
"Jun 26, 2020","4.22","4.30","4.33","4.20","135.92K","-0.17%"
"Jun 25, 2020","4.23","4.17","4.26","4.17","248.46K","0.17%"
"Jun 24, 2020","4.22","4.33","4.34","4.22","263.50K","-2.61%"
"Jun 23, 2020","4.33","4.35","4.38","4.31","339.95K","0.69%"
"Jun 22, 2020","4.30","4.31","4.34","4.28","675.26K","-1.48%"
"Jun 19, 2020","4.37","4.35","4.39","4.35","222.93K","0.66%"
"Jun 18, 2020","4.34","4.34","4.36","4.30","295.34K","-0.37%"
"Jun 17, 2020","4.36","4.37","4.41","4.35","345.23K","-0.21%"
"Jun 16, 2020","4.36","4.33","4.43","4.32","300.82K","3.87%"
"Jun 15, 2020","4.20","4.15","4.22","4.07","1.08M","0.14%"
"Jun 12, 2020","4.20","4.15","4.27","4.15","806.93K","0.54%"
"Jun 11, 2020","4.17","4.24","4.28","4.17","570.05K","-5.14%"
"Jun 10, 2020","4.40","4.52","4.52","4.38","433.98K","-1.43%"
"Jun 09, 2020","4.46","4.58","4.58","4.45","239.80K","-1.97%"
"Jun 08, 2020","4.55","4.51","4.56","4.48","267.90K","0.51%"
"Jun 05, 2020","4.53","4.43","4.53","4.40","202.22K","3.99%"
"Jun 04, 2020","4.36","4.38","4.39","4.35","238.76K","-1.19%"
"Jun 03, 2020","4.41","4.34","4.41","4.33","125.01K","2.31%"
"Jun 02, 2020","4.31","4.30","4.33","4.29","211.56K","2.53%"
"May 29, 2020","4.20","4.23","4.25","4.20","71.27K","-2.45%"
"May 28, 2020","4.31","4.34","4.34","4.30","167.54K","1.50%"
"May 27, 2020","4.24","4.29","4.32","4.21","180.81K","0.39%"
"May 26, 2020","4.23","4.23","4.26","4.23","113.11K","0.25%"
"May 25, 2020","4.22","4.20","4.22","4.16","116.98K","2.55%"
"May 22, 2020","4.11","4.07","4.14","4.05","82.92K","0.55%"
"May 21, 2020","4.09","4.09","4.12","4.06","289.11K","-0.61%"
"May 20, 2020","4.11","4.03","4.12","4.03","249.27K","1.04%"
"May 19, 2020","4.07","4.11","4.11","4.03","207.75K","-0.28%"
"May 18, 2020","4.08","4.00","4.08","3.98","144.65K","4.66%"
"May 15, 2020","3.90","3.93","3.93","3.85","105.32K","1.59%"
"May 14, 2020","3.84","3.88","3.88","3.76","400.01K","-1.54%"
"May 13, 2020","3.90","3.99","3.99","3.90","252.52K","-3.73%"
"May 12, 2020","4.05","4.08","4.10","4.04","142.37K","-0.45%"
"May 11, 2020","4.07","4.14","4.14","4.05","149.01K","0.00%"
"May 08, 2020","4.07","4.09","4.09","4.04","254.97K","1.46%"
"May 07, 2020","4.01","3.95","4.03","3.95","253.12K","1.65%"
"May 06, 2020","3.95","4.01","4.01","3.94","352.48K","-1.14%"
"May 05, 2020","3.99","3.94","4.00","3.93","368.47K","3.69%"
"May 04, 2020","3.85","3.87","3.87","3.81","351.20K","-4.29%"
"Apr 30, 2020","4.02","4.15","4.15","4.02","240.85K","-2.20%"
"Apr 29, 2020","4.11","4.03","4.11","4.01","204.04K","3.26%"
"Apr 28, 2020","3.98","3.96","4.03","3.92","295.75K","1.82%"
"Apr 27, 2020","3.91","3.89","3.91","3.86","263.77K","3.16%"
"Apr 24, 2020","3.79","3.81","3.82","3.78","185.28K","-0.89%"
"Apr 23, 2020","3.83","3.79","3.84","3.75","137.94K","2.23%"
"Apr 22, 2020","3.74","3.69","3.76","3.69","215.77K","2.02%"
"Apr 21, 2020","3.67","3.78","3.78","3.67","228.23K","-3.82%"
"Apr 20, 2020","3.81","3.82","3.82","3.74","294.05K","0.90%"
"Apr 17, 2020","3.78","3.83","3.83","3.76","339.59K","2.68%"
"Apr 16, 2020","3.68","3.74","3.74","3.65","517.55K","0.30%"
"Apr 15, 2020","3.67","3.80","3.80","3.66","1.03M","-3.38%"
"Apr 14, 2020","3.80","3.85","3.85","3.77","468.88K","0.00%"
"Apr 09, 2020","3.80","3.76","3.84","3.69","355.21K","3.69%"
"Apr 08, 2020","3.66","3.59","3.67","3.56","272.33K","0.43%"
"Apr 07, 2020","3.65","3.63","3.70","3.59","1.03M","4.41%"
"Apr 06, 2020","3.49","3.47","3.53","3.45","825.13K","4.27%"
"Apr 03, 2020","3.35","3.37","3.41","3.35","479.04K","-2.09%"
"Apr 02, 2020","3.42","3.43","3.44","3.35","267.58K","0.38%"
"Apr 01, 2020","3.41","3.42","3.44","3.39","318.87K","-4.38%"
"Mar 31, 2020","3.56","3.56","3.57","3.50","194.04K","2.00%"
"Mar 30, 2020","3.49","3.46","3.51","3.41","289.23K","0.88%"
"Mar 27, 2020","3.46","3.54","3.54","3.44","239.54K","-3.08%"
"Mar 26, 2020","3.57","3.38","3.58","3.34","246.22K","2.30%"
"Mar 25, 2020","3.49","3.42","3.49","3.31","369.87K","3.84%"
"Mar 24, 2020","3.36","3.27","3.36","3.22","238.88K","9.54%"
"Mar 23, 2020","3.07","3.10","3.26","3.03","649.81K","-5.13%"
"Mar 20, 2020","3.24","3.37","3.42","3.24","175.99K","2.26%"
"Mar 19, 2020","3.16","3.11","3.22","3.02","274.02K","1.52%"
"Mar 18, 2020","3.12","3.23","3.23","3.11","838.87K","-5.10%"
"Mar 17, 2020","3.29","3.42","3.42","3.17","748.70K","-0.67%"
"Mar 16, 2020","3.31","3.42","3.42","3.17","477.30K","-4.21%"
"Mar 13, 2020","3.45","3.50","3.63","3.40","232.44K","1.16%"
"Mar 12, 2020","3.41","3.70","3.70","3.38","617.29K","-11.13%"
"Mar 11, 2020","3.84","3.92","3.93","3.83","197.06K","-0.81%"
"Mar 10, 2020","3.87","3.92","4.06","3.83","418.40K","-0.92%"
"Mar 09, 2020","3.91","4.00","4.04","3.89","690.84K","-7.72%"
"Mar 06, 2020","4.24","4.32","4.33","4.19","168.82K","-4.02%"
"Mar 05, 2020","4.41","4.51","4.51","4.39","191.14K","-1.57%"
"Mar 04, 2020","4.48","4.45","4.51","4.44","198.66K","0.76%"
"Mar 03, 2020","4.45","4.47","4.53","4.42","338.53K","0.79%"
"Mar 02, 2020","4.41","4.48","4.48","4.31","235.02K","0.82%"
"Feb 28, 2020","4.38","4.40","4.45","4.33","406.94K","-4.23%"
"Feb 27, 2020","4.57","4.66","4.67","4.50","548.58K","-4.39%"
"Feb 26, 2020","4.78","4.79","4.81","4.68","261.01K","-0.65%"
"Feb 25, 2020","4.81","4.95","4.95","4.80","212.24K","-1.72%"
"Feb 24, 2020","4.90","4.97","4.97","4.89","288.08K","-3.39%"
"Feb 21, 2020","5.07","5.09","5.11","5.05","236.42K","-0.53%"
"Feb 20, 2020","5.10","5.14","5.14","5.10","87.93K","-0.80%"
"Feb 19, 2020","5.14","5.12","5.14","5.12","148.04K","0.82%"
"Feb 18, 2020","5.09","5.09","5.12","5.09","183.63K","-0.57%"
"Feb 17, 2020","5.12","5.13","5.13","5.11","83.65K","0.00%"
"Feb 14, 2020","5.12","5.14","5.14","5.11","107.48K","0.16%"
"Feb 13, 2020","5.11","5.09","5.11","5.07","81.48K","0.57%"
"Feb 12, 2020","5.09","5.07","5.09","5.07","224.49K","0.55%"
"Feb 11, 2020","5.06","5.04","5.07","5.03","179.51K","0.96%"
"Feb 10, 2020","5.01","4.99","5.01","4.97","99.16K","0.16%"
"Feb 07, 2020","5.00","5.02","5.02","4.99","119.20K","-0.52%"
"Feb 06, 2020","5.03","5.05","5.05","5.02","64.00K","0.40%"
"Feb 05, 2020","5.01","4.95","5.01","4.95","202.01K","1.09%"
"Feb 04, 2020","4.95","4.91","4.95","4.91","95.92K","1.93%"
"Feb 03, 2020","4.86","4.85","4.89","4.83","332.04K","0.38%"
"Jan 31, 2020","4.84","4.93","4.93","4.83","233.06K","-1.40%"
"Jan 30, 2020","4.91","4.91","4.92","4.89","146.43K","-1.22%"
"Jan 29, 2020","4.97","4.97","4.98","4.96","74.35K","0.00%"
"Jan 28, 2020","4.97","4.96","4.97","4.92","67.59K","0.94%"
"Jan 27, 2020","4.92","4.95","4.95","4.91","173.27K","-1.86%"
"Jan 24, 2020","5.02","5.04","5.06","5.02","100.64K","0.10%"
"Jan 23, 2020","5.01","5.02","5.02","4.99","110.12K","-0.36%"
"Jan 22, 2020","5.03","5.05","5.05","5.03","56.95K","0.00%"
"Jan 21, 2020","5.03","5.02","5.03","5.00","1.06M","-0.34%"
"Jan 20, 2020","5.04","5.04","5.05","5.03","71.49K","0.00%"
