"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 26, 2019","5.17","5.18","5.18","5.17","82.30K","0.00%"
"Jul 25, 2019","5.17","5.18","5.18","5.16","211.49K","0.00%"
"Jul 24, 2019","5.17","5.17","5.18","5.15","102.24K","0.00%"
"Jul 23, 2019","5.17","5.17","5.17","5.16","472.30K","0.19%"
"Jul 22, 2019","5.16","5.17","5.17","5.16","79.76K","0.00%"
"Jul 19, 2019","5.16","5.16","5.16","5.16","51.25K","0.00%"
"Jul 18, 2019","5.16","5.16","5.16","5.16","79.65K","0.19%"
"Jul 17, 2019","5.15","5.15","5.16","5.15","96.03K","0.19%"
"Jul 16, 2019","5.14","5.15","5.15","5.14","114.66K","-0.19%"
"Jul 15, 2019","5.15","5.14","5.15","5.14","216.68K","0.19%"
"Jul 12, 2019","5.14","5.14","5.14","5.13","39.71K","-0.19%"
"Jul 11, 2019","5.15","5.17","5.17","5.14","80.25K","0.00%"
"Jul 10, 2019","5.15","5.15","5.16","5.14","75.60K","-0.19%"
"Jul 09, 2019","5.16","5.16","5.16","5.15","73.40K","0.00%"
"Jul 08, 2019","5.16","5.17","5.17","5.16","30.67K","0.00%"
"Jul 05, 2019","5.16","5.19","5.19","5.15","45.24K","-0.39%"
"Jul 04, 2019","5.18","5.18","5.18","5.18","95.78K","0.00%"
"Jul 03, 2019","5.18","5.18","5.18","5.17","85.72K","0.39%"
"Jul 02, 2019","5.16","5.17","5.17","5.16","102.09K","0.00%"
"Jul 01, 2019","5.16","5.15","5.16","5.15","42.74K","0.19%"
"Jun 28, 2019","5.15","5.14","5.15","5.14","158.98K","0.19%"
"Jun 27, 2019","5.14","5.14","5.15","5.14","11.30K","0.00%"
"Jun 26, 2019","5.14","5.15","5.15","5.14","43.81K","-0.39%"
"Jun 25, 2019","5.16","5.16","5.16","5.15","177.95K","0.19%"
"Jun 24, 2019","5.15","5.15","5.15","5.14","48.15K","0.00%"
"Jun 21, 2019","5.15","5.15","5.16","5.14","36.41K","-0.58%"
"Jun 20, 2019","5.18","5.16","5.18","5.14","68.20K","0.97%"
"Jun 19, 2019","5.13","5.14","5.14","5.13","24.99K","-0.19%"
"Jun 18, 2019","5.14","5.12","5.15","5.12","147.20K","0.39%"
"Jun 17, 2019","5.12","5.13","5.13","5.12","186.11K","0.00%"
"Jun 14, 2019","5.12","5.13","5.13","5.12","100.52K","0.00%"
"Jun 13, 2019","5.12","5.12","5.12","5.11","16.80K","0.00%"
"Jun 12, 2019","5.12","5.11","5.12","5.11","12.12K","0.20%"
"Jun 11, 2019","5.11","5.12","5.14","5.11","741.84K","-0.39%"
"Jun 07, 2019","5.13","5.11","5.13","5.11","265.60K","0.20%"
"Jun 06, 2019","5.12","5.12","5.12","5.11","16.70K","0.20%"
"Jun 05, 2019","5.11","5.11","5.12","5.11","249.24K","0.20%"
"Jun 04, 2019","5.10","5.11","5.11","5.09","231.78K","0.00%"
"Jun 03, 2019","5.10","5.09","5.11","5.09","188.95K","0.20%"
"May 31, 2019","5.09","5.09","5.10","5.09","298.72K","0.20%"
"May 30, 2019","5.08","5.07","5.08","5.07","327.94K","0.00%"
"May 29, 2019","5.08","5.08","5.08","5.08","64.79K","0.20%"
"May 28, 2019","5.07","5.07","5.08","5.07","291.55K","0.20%"
"May 27, 2019","5.06","5.07","5.07","5.06","38.31K","-0.20%"
